# Feature,Accuracy,F1_weighted, F2_weighted, Precision_weighted,Recall_weighted,Roc_auc,SVs-Trees-Neurons,Distance,Weighted_Sum,Classification_Model
6.666666666666666574e-02,8.885512322888068359e-01,8.837925546459526327e-01,8.850125976106653081e-01,8.947314288395314952e-01,8.885512322888068359e-01,8.435464279330465720e-01,9.592769169646404581e-01,8.885512322888068359e-01,2.473469237738994408e+00,2.573827750818115305e+02
8.333333333333332871e-02,8.812036511092177227e-01,8.745486347188311527e-01,8.744455640045801781e-01,8.918855897264773569e-01,8.812036511092177227e-01,8.284961580038217033e-01,9.980135081446166456e-01,8.794155700716336233e-01,2.457211184733615106e+00,3.262467568416932409e+02
1.111111111111111049e-01,7.242777462210862049e-01,6.982885455994731760e-01,7.102505147960662679e-01,7.119704606104717559e-01,7.242777462210862049e-01,6.337990836025177988e-01,9.263011521652760871e-01,7.242777462210862049e-01,2.004819220745791331e+00,3.769260829263801611e+02
7.142857142857142461e-02,8.853722900691092246e-01,8.802310806513575780e-01,8.815749926108635837e-01,8.919317049652104590e-01,8.853722900691092246e-01,8.389248714724070188e-01,2.995629717918156798e-01,8.853722900691092246e-01,2.391647678838071833e+00,3.262467568416932409e+02
6.666666666666666574e-02,7.580445896052258048e-01,7.335738437340256768e-01,7.439196308326893048e-01,7.587605630024113479e-01,7.580445896052258048e-01,6.692419744732284181e-01,9.263011521652760871e-01,7.580445896052258048e-01,2.093235434459779221e+00,1.000000000000000021e-03
1.111111111111111049e-01,8.758429581242703765e-01,8.689981375718449641e-01,8.707572124263274205e-01,8.856038455048400593e-01,8.758429581242703765e-01,8.225442265788253104e-01,9.263011521652760871e-01,8.758429581242703765e-01,2.437841273652422203e+00,3.769260829263801611e+02
7.142857142857142461e-02,8.847774464325161015e-01,8.792850002501791939e-01,8.806676343963877329e-01,8.924890041728629209e-01,8.847774464325161015e-01,8.366896032029756958e-01,9.263011521652760871e-01,8.847774464325161015e-01,2.459219764291727284e+00,1.000000000000000021e-03
7.142857142857142461e-02,8.875564075862285573e-01,8.827635985024657739e-01,8.840198812247928029e-01,8.934944037290550867e-01,8.875564075862285573e-01,8.424980821938212738e-01,1.000000000000000048e-04,8.875564075862285573e-01,2.364699711894378886e+00,1.000000000000000021e-03
7.142857142857142461e-02,8.790199280507431379e-01,8.722874983090816992e-01,8.751779773515673266e-01,8.893032644816895038e-01,8.790199280507431379e-01,8.299815826768638383e-01,9.980135081446166456e-01,8.806103853072043686e-01,2.450666566192477358e+00,3.262467568416932409e+02
6.250000000000000000e-02,7.580453785225156338e-01,7.346788987943325688e-01,7.359733874838586543e-01,7.573227330512832811e-01,7.580453785225156338e-01,6.680305886095612156e-01,9.980135081446166456e-01,7.506938527564770425e-01,2.100792040997812915e+00,1.000000000000000021e-03
5.555555555555555247e-02,8.817992836631007858e-01,8.754497453372319660e-01,8.763008579801979669e-01,8.915542793043517156e-01,8.817992836631007858e-01,8.325131320514621569e-01,9.980135081446166456e-01,8.808080090883271263e-01,2.456469656300290350e+00,2.573827750818115305e+02
8.333333333333332871e-02,7.705516898608349985e-01,7.508919170660874887e-01,7.591064722345016724e-01,7.701290392663082685e-01,7.705516898608349985e-01,6.896155423694187991e-01,9.263011521652760871e-01,7.705516898608349985e-01,2.134830366499878007e+00,4.196074460274630269e+02
1.111111111111111049e-01,8.764374073022185296e-01,8.693644877704220786e-01,8.713815124655257538e-01,8.872266076279642366e-01,8.764374073022185296e-01,8.205994647166221512e-01,9.980135081446166456e-01,8.754441604342201311e-01,2.446976506899385395e+00,2.573827750818115305e+02
1.250000000000000000e-01,7.195079522862822818e-01,6.912254861298696706e-01,7.043006506159976698e-01,7.063624778520585235e-01,7.195079522862822818e-01,6.258956846435062005e-01,9.263011521652760871e-01,7.195079522862822818e-01,1.990522477969404624e+00,3.769260829263801611e+02
1.111111111111111049e-01,8.760397929881031942e-01,8.689099562794178055e-01,8.706934053606387724e-01,8.869320513297680453e-01,8.760397929881031942e-01,8.216429028935732237e-01,9.263011521652760871e-01,8.760397929881031942e-01,2.438024212058186535e+00,1.000000000000000021e-03
8.333333333333332871e-02,6.666666666666666297e-01,5.333335609028060365e-01,6.060606594733735086e-01,4.444449714349204550e-01,6.666666666666666297e-01,5.000000000000000000e-01,1.000000000000000000e+00,6.666666666666666297e-01,1.700056434067001909e+00,3.262467568416932409e+02
5.555555555555555247e-02,8.812048344851526327e-01,8.748136177825728277e-01,8.746320090089128030e-01,8.908738343947277816e-01,8.812048344851526327e-01,8.271515311594296316e-01,9.980135081446166456e-01,8.788203319763955301e-01,2.454179532825072396e+00,1.000000000000000021e-03
5.882352941176470507e-02,8.861675186973396734e-01,8.809914010664234851e-01,8.823109542762725965e-01,8.931161835249918912e-01,8.861675186973396734e-01,8.393726326664369131e-01,9.263011521652760871e-01,8.861675186973396734e-01,2.461964574264412065e+00,3.262467568416932409e+02
7.142857142857142461e-02,7.528815204014011053e-01,7.279462775950242825e-01,7.386415237061669803e-01,7.515363987346510566e-01,7.528815204014011053e-01,6.634263881618426284e-01,5.089392133492253167e-01,7.528815204014011053e-01,2.032792399527346028e+00,1.000000000000000021e-03
6.666666666666666574e-02,8.871599766480482430e-01,8.822837072050073726e-01,8.835543697944305830e-01,8.933271973282884693e-01,8.871599766480482430e-01,8.417526966323217730e-01,1.000000000000000048e-04,8.871599766480482430e-01,2.362999749511145886e+00,1.000000000000000021e-03
