# Feature,NegativeMSE, R2, Negative_MedianAbsoluteError, explained_variance,SVs-Trees-Neurons, Distance, RMSE, correlation, Weighted_Sum, Classification_Model
9.090909090909091161e-02,9.891410869449910326e-01,2.482598198698798275e-01,9.415967229934135707e-01,5.578671425605752354e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.887454365933164846e-01,3.559942343009669385e-01,1.532278042246922434e+00,2.977600212595674645e+00
9.090909090909091161e-02,9.808181845470278493e-01,-1.943115721030179044e+00,9.207336423794884039e-01,-5.483665346973152221e-01,9.665551839464883166e-01,9.937500000000000222e-01,9.806600436707022528e-01,2.852419694213548795e-01,1.173422168896656403e+00,2.999000000000000110e+00
9.090909090909091161e-02,9.890205231811047826e-01,-3.190623573598534712e-02,9.408143222591296428e-01,3.650045544717441248e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.880412737266850431e-01,3.390485587882360319e-01,1.477537317752788848e+00,2.977600212595674645e+00
2.000000000000000111e-01,9.852916006941924154e-01,-3.008583603851806565e-01,9.318372529512001234e-01,2.562655085797596044e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.851809166190961253e-01,3.211804448685916524e-01,1.440248981457838084e+00,2.999000000000000110e+00
9.090909090909091161e-02,9.884216443955731179e-01,-2.554156980438561098e-01,9.437991853094451766e-01,1.685551261868130923e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.884553974467774617e-01,3.416200881228632080e-01,1.430873188603557056e+00,2.977600212595674645e+00
1.000000000000000056e-01,9.869458565662609928e-01,-2.842634744958972837e-01,9.339024052871871540e-01,3.581663261601958359e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.871361558078080023e-01,3.302780997059334700e-01,1.445599682408109654e+00,2.999000000000000110e+00
8.333333333333332871e-02,9.881062668073056221e-01,1.743191194100273678e-01,9.446072693346861948e-01,5.273363273152936737e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.885723028542621194e-01,3.511114630168284401e-01,1.518451282986959860e+00,2.999000000000000110e+00
7.692307692307692735e-02,9.888525008504692737e-01,1.667713880378953739e-01,9.402841965951723724e-01,5.179824133479249415e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.886199738262668735e-01,3.487673260328533753e-01,1.515954716312559292e+00,2.977600212595674645e+00
1.428571428571428492e-01,9.886475231360772886e-01,8.099195460262666180e-02,9.430559262369625495e-01,4.674561184794961965e-01,1.471571906354515180e-01,9.937500000000000222e-01,9.887640526509458017e-01,3.495387642934074668e-01,1.445144042346311997e+00,2.977600212595674645e+00
9.090909090909091161e-02,9.881057338694816394e-01,1.778008084919691922e-01,9.420452116047415281e-01,5.282593604559208122e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.885594857326902574e-01,3.599066442748001249e-01,1.520473000412130959e+00,2.999000000000000110e+00
1.666666666666666574e-01,9.862843956237261622e-01,-1.313257488886068192e-01,9.348118087770213025e-01,4.389719242831341961e-01,1.471571906354515180e-01,9.937500000000000222e-01,9.862490505042422750e-01,3.389850140403994350e-01,1.416039984695063536e+00,2.977600212595674645e+00
1.000000000000000056e-01,9.869053783420232984e-01,-2.607192300534443286e-01,9.417704171641420041e-01,2.765504265587778177e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.872976364240960701e-01,3.390568254336141507e-01,1.440969880276951942e+00,2.977600212595674645e+00
1.111111111111111049e-01,9.874778084440174464e-01,-1.682120485763709608e-02,9.348780400856238071e-01,4.470598732567641065e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.872590322231775684e-01,3.318760183446215484e-01,1.487317779794331774e+00,2.977600212595674645e+00
8.333333333333332871e-02,9.888037941940682751e-01,1.318083884518554405e-01,9.425325521016110208e-01,5.078246506124064474e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.885726562200327638e-01,3.327395014102307313e-01,1.510063120846144802e+00,2.999000000000000110e+00
2.500000000000000000e-01,9.842226480021084578e-01,-4.186045859190229979e-01,9.250072345694958509e-01,2.889434870285927381e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.842063842886693559e-01,3.067309206061533122e-01,1.432692109348902232e+00,2.999000000000000110e+00
5.000000000000000000e-01,9.609379030243730968e-01,-5.361928310824096044e+00,8.856789954548400789e-01,-1.920139440921496243e+00,7.157190635451504690e-01,9.937500000000000222e-01,9.613222490339191628e-01,2.842228944543129798e-01,6.304727201095956524e-01,2.999000000000000110e+00
8.333333333333332871e-02,9.887590159894024122e-01,6.884914153777287049e-02,9.401049204792499836e-01,4.701426527464626082e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.882226329345022986e-01,3.397615599054169544e-01,1.499302607152879219e+00,2.999000000000000110e+00
7.142857142857142461e-02,9.887743472271420808e-01,-7.900841211676110087e-02,9.451000447313346875e-01,4.353143667020351049e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.885515424235912230e-01,3.566566585895470376e-01,1.480167256397209918e+00,2.999000000000000110e+00
1.111111111111111049e-01,9.857055893259538681e-01,-4.885249883293451556e-01,9.316825852952741460e-01,2.975733408910197220e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.854934937636505854e-01,3.231957826527124267e-01,1.414811809132123566e+00,2.999000000000000110e+00
9.090909090909091161e-02,9.885898802842068012e-01,1.648830123553415850e-01,9.429944692159880626e-01,4.988285805088829017e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.887182189243434172e-01,3.592407853490663383e-01,1.516354669294436963e+00,2.999000000000000110e+00
1.111111111111111049e-01,9.872701309240127232e-01,-6.676396137041391843e-02,9.337368385590929520e-01,4.530365696681776244e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.880791933609032185e-01,3.440609557813797958e-01,1.483520119988392283e+00,2.999000000000000110e+00
1.111111111111111049e-01,9.876352560416741255e-01,-4.383340066258519657e-02,9.401983216698833745e-01,3.928546622856449733e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.876420561763780137e-01,3.284357743940958252e-01,1.478720016548491278e+00,2.999000000000000110e+00
5.000000000000000000e-01,9.611740833766819758e-01,-5.421536457227570160e+00,8.858190967106379654e-01,-1.908050003546449602e+00,7.157190635451504690e-01,9.937500000000000222e-01,9.612777554199103403e-01,2.798059340528065708e-01,6.249751358579228588e-01,2.999000000000000110e+00
8.333333333333332871e-02,9.875660463080779827e-01,8.834125279697106758e-02,9.403875523494213962e-01,4.825537595050642392e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.875958744379126353e-01,3.549970111818273599e-01,1.503176478914495684e+00,2.999000000000000110e+00
1.000000000000000056e-01,9.888000128592855376e-01,2.163508633917574087e-01,9.388597217603004141e-01,5.660529936173320786e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.889949108770392794e-01,3.578434499518120537e-01,1.530202347970694099e+00,2.931691059254919907e+00
9.090909090909091161e-02,9.884791575813097753e-01,-1.472402379961050903e-02,9.378719592048911924e-01,4.426227735282727838e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.885952603187178056e-01,3.463294443575767323e-01,1.488012793764132091e+00,2.999000000000000110e+00
1.250000000000000000e-01,9.862874201679910913e-01,-3.966578800992401344e-01,9.265905223330046514e-01,3.161915406776283355e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.859676845724241190e-01,3.114716927650874601e-01,1.427461869497107294e+00,2.977600212595674645e+00
1.250000000000000000e-01,9.885696752343191562e-01,8.723297418922301705e-02,9.407813244898208804e-01,4.911929138065994627e-01,1.471571906354515180e-01,9.937500000000000222e-01,9.884568718531990816e-01,3.496534025410173441e-01,1.446130158873167204e+00,2.977600212595674645e+00
1.428571428571428492e-01,9.867521590597616576e-01,-1.453648944101984530e-01,9.345035897258557878e-01,3.714506843987942508e-01,1.471571906354515180e-01,9.937500000000000222e-01,9.866785202995271842e-01,3.386455591080496652e-01,1.404827709245804579e+00,2.977600212595674645e+00
9.090909090909091161e-02,9.887999786366240551e-01,-1.000632976119964351e-01,9.406140149893532643e-01,3.268531195959374358e-01,7.157190635451504690e-01,9.937500000000000222e-01,9.884615228442358292e-01,3.381517548749632951e-01,1.465405006168108759e+00,2.157928460794702463e+00
